match_id,league_id,season,game_week,match_date,home_team,away_team,actual_home_goals,actual_away_goals,match_status,xg_home,xg_away,prob_home_win,prob_draw,prob_away_win,predicted_scoreline,predicted_scoreline_prob,prediction_confidence,prediction_date,predicted_outcome,actual_outcome,prediction_accuracy
UCL_2026_GS01_AEK Athens_Lask Linz,UCL,2026,1.0,2026-09-08,AEK Athens,Lask Linz,1.0,0.0,complete,1.6241790101663778,1.21980982056512,0.46200843628949684,0.23867007511014476,0.2993214886003585,1-1,0.10295386655198946,0.5682424211739256,2026-09-08 02:12:19.133269,Home Win,Home Win,Correct
UCL_2026_GS01_Club Brugge_Aston Villa,UCL,2026,1.0,2026-09-08,Club Brugge,Aston Villa,2.0,3.0,complete,1.5169183423852006,1.4956288617996443,0.38862461736684495,0.23683079846873484,0.3745445841644202,1-1,0.1054687403183377,0.641317316338296,2026-09-08 02:12:19.133269,Home Win,Away Win,Incorrect
UCL_2026_GS01_Dortmund_Villarreal,UCL,2026,1.0,2026-09-08,Dortmund,Villarreal,3.0,2.0,complete,2.1447030970467327,0.9188631456962004,0.6462786727198417,0.19508676630369565,0.15863456097646256,2-0,0.10722345927136029,0.6471999561665815,2026-09-08 02:12:19.133269,Home Win,Home Win,Correct
UCL_2026_GS01_Lille_Betis,UCL,2026,1.0,2026-09-08,Lille,Betis,2.0,3.0,complete,1.7209057517840143,1.148945427138359,0.5023579698857444,0.23298003732918665,0.26466199278506897,1-0,0.10369264234311934,0.5830010828683211,2026-09-08 02:12:19.133269,Home Win,Away Win,Incorrect
UCL_2026_GS01_Porto_Man City,UCL,2026,1.0,2026-09-08,Porto,Man City,0.0,2.0,complete,1.5735044914975416,1.2416216705813905,0.4414152542797753,0.24377520058903174,0.31480954513119297,1-1,0.10827451560471216,0.6174024797976455,2026-09-08 02:12:19.133269,Home Win,Away Win,Incorrect
UCL_2026_GS01_Real Madrid_Inter,UCL,2026,1.0,2026-09-08,Real Madrid,Inter,2.0,1.0,complete,1.7907737965714194,1.1556531831566892,0.5202296450626458,0.22998068155283408,0.24978967338452024,1-1,0.10520055672871616,0.7316704363457002,2026-09-08 02:12:19.133269,Home Win,Home Win,Correct
UCL_2026_GS01_Barcelona_Feyenoord,UCL,2026,1.0,2026-09-09,Barcelona,Feyenoord,5.0,1.0,complete,2.5447012996054745,1.2107764812048583,0.6566678784862691,0.17167382782094198,0.17165829369278893,2-1,0.0850668205354671,0.6970775674585667,2026-09-08 02:12:19.133269,Home Win,Home Win,Correct
UCL_2026_GS01_Liverpool_Ath Madrid,UCL,2026,1.0,2026-09-09,Liverpool,Ath Madrid,2.0,1.0,complete,1.7158624928759922,1.1045939961580251,0.5122466791779706,0.23743091634320526,0.2503224044788241,1-1,0.10957489452169943,0.7402635067158481,2026-09-08 02:12:19.133269,Home Win,Home Win,Correct
UCL_2026_GS01_Napoli_Arsenal,UCL,2026,1.0,2026-09-09,Napoli,Arsenal,0.0,1.0,complete,0.7605649513297541,1.4379651133348823,0.20137117115287057,0.2689349060038221,0.5296939228433074,0-1,0.16127708797536766,0.685645412375578,2026-09-08 02:12:19.133269,Away Win,Away Win,Correct
UCL_2026_GS01_Paris SG_Slovan Bratislava,UCL,2026,1.0,2026-09-09,Paris SG,Slovan Bratislava,6.0,1.0,complete,2.7004016304229705,0.8767107006555607,0.7508473063871768,0.14559238121570992,0.10356031239711333,2-0,0.10455620953226188,0.7244864674515907,2026-09-08 02:12:19.133269,Home Win,Home Win,Correct
UCL_2026_GS01_Sporting CP_Galatasaray,UCL,2026,1.0,2026-09-09,Sporting CP,Galatasaray,3.0,1.0,complete,1.6252813514695121,0.9564266149658691,0.525829365117387,0.24640793648163364,0.2277626984009794,1-0,0.12456675754437019,0.6673897293971424,2026-09-08 02:12:19.133269,Home Win,Home Win,Correct
UCL_2026_GS01_Stuttgart_Viking,UCL,2026,1.0,2026-09-09,Stuttgart,Viking,3.0,1.0,complete,1.6490461298843109,1.2751666676675404,0.45979566001239547,0.2349619598037991,0.30524238018380556,1-1,0.10222805617480471,0.5778525353343539,2026-09-08 02:12:19.133269,Home Win,Home Win,Correct
UCL_2026_GS01_Bayern Munich_Bodo/Glimt,UCL,2026,1.0,2026-09-10,Bayern Munich,Bodo/Glimt,5.0,0.0,complete,2.5363442795137967,1.2015940244628507,0.6572808489787699,0.17345945198374974,0.16925969903748034,2-1,0.08731917000762468,0.7549617485495048,2026-09-08 02:12:19.133269,Home Win,Home Win,Correct
UCL_2026_GS01_Como_RB Leipzig,UCL,2026,1.0,2026-09-10,Como,RB Leipzig,4.0,1.0,complete,1.633766773118613,1.1256027743185415,0.48201310434273176,0.24165594126651777,0.27633095439075045,1-0,0.10633744241600473,0.573851770203765,2026-09-08 02:12:19.133269,Home Win,Home Win,Correct
