match_id,league_id,season,game_week,match_date,home_team,away_team,actual_home_goals,actual_away_goals,match_status,xg_home,xg_away,prob_home_win,prob_draw,prob_away_win,predicted_scoreline,predicted_scoreline_prob,prediction_confidence,prediction_date,predicted_outcome,actual_outcome,prediction_accuracy
LIGUE1_2026_1._Marseille_Strasbourg,LIGUE1,2026,1.0,2026-08-21,Marseille,Strasbourg,4.0,0.0,complete,1.7054567026787133,1.3015311078489964,0.4689431483573916,0.23611783976925382,0.29493901187335464,1-1,0.10834139883743814,0.9,2026-08-20 16:19:02.286379,Home Win,Home Win,Correct
LIGUE1_2026_1._Le Mans_Brest,LIGUE1,2026,1.0,2026-08-22,Le Mans,Brest,2.0,2.0,complete,1.536215010717282,1.116900464589291,0.46177141399374894,0.2527288910373988,0.28549969496885225,1-1,0.115711567360098,0.7802195944875212,2026-08-22 02:36:36.029160,Home Win,Draw,Incorrect
LIGUE1_2026_1._Nice_Lorient,LIGUE1,2026,1.0,2026-08-22,Nice,Lorient,0.0,0.0,complete,1.3232250048731888,1.2477786603879097,0.38563194092704306,0.2639598765263051,0.35040818254665185,1-1,0.12345439676067588,0.9,2026-08-22 02:36:36.029160,Home Win,Draw,Incorrect
LIGUE1_2026_1._Racing De Lens_Auxerre,LIGUE1,2026,1.0,2026-08-22,Racing De Lens,Auxerre,5.0,2.0,complete,1.330928959072558,1.0170948620921432,0.4322780512871428,0.27474139309411466,0.2929805556187426,1-0,0.12385291016780764,0.7474412390984133,2026-08-22 02:36:36.029160,Home Win,Home Win,Correct
LIGUE1_2026_1._Toulouse_Lyon,LIGUE1,2026,1.0,2026-08-22,Toulouse,Lyon,0.0,2.0,complete,1.280313083741136,1.2875168874009482,0.3658093020968147,0.264603187562166,0.36958751034101917,1-1,0.12409946914070599,0.9,2026-08-22 02:36:36.029160,Away Win,Away Win,Correct
LIGUE1_2026_1._Troyes_Paris FC,LIGUE1,2026,1.0,2026-08-22,Troyes,Paris FC,0.0,0.0,complete,1.3867756400883033,1.1686261311821595,0.41408413162395424,0.26223422161241683,0.323681646763629,1-1,0.11954170507229508,0.7345363060734983,2026-08-22 02:36:36.029160,Home Win,Draw,Incorrect
LIGUE1_2026_1._Angers_Lille Osc,LIGUE1,2026,1.0,2026-08-23,Angers,Lille Osc,0.0,2.0,complete,0.9844722375060301,1.2053101655601515,0.3056061449962554,0.28855836733579243,0.40583548766795235,0-1,0.13130620435846355,0.7101580041732154,2026-08-22 23:23:08.220963,Away Win,Away Win,Correct
LIGUE1_2026_1._Le Havre_Monaco,LIGUE1,2026,1.0,2026-08-23,Le Havre,Monaco,0.0,1.0,complete,1.1537726246269087,1.46215997453901,0.29975004408148975,0.2579863141375247,0.4422636417809856,1-1,0.12090267660531791,0.9,2026-08-22 23:23:08.220963,Away Win,Away Win,Correct
LIGUE1_2026_1._Rennes_Paris SG,LIGUE1,2026,1.0,2026-08-23,Rennes,Paris SG,2.0,2.0,complete,1.5,1.9100000000000001,0.4,0.27,0.33,1-2,0.085,0.9,2026-08-22 23:23:08.220963,Home Win,Draw,Incorrect
LIGUE1_2026_2._Lille Osc_Paris SG,LIGUE1,2026,2.0,2026-08-28,Lille Osc,Paris SG,,,incomplete,1.1605162553212598,1.5967208112326008,0.2775255327646904,0.24485060183671797,0.47762386539859164,1-1,0.11285596462357898,0.9,2026-08-28 01:35:17.451528,Away Win,,
LIGUE1_2026_2._Auxerre_Angers,LIGUE1,2026,2.0,2026-08-29,Auxerre,Angers,,,incomplete,1.3450954474763432,0.8240299412226143,0.48847388295626426,0.2802951870053567,0.2312309300383791,1-0,0.1537783430714775,0.867410538523574,2026-08-28 01:35:17.451528,Home Win,,
LIGUE1_2026_2._Brest_Toulouse,LIGUE1,2026,2.0,2026-08-29,Brest,Toulouse,,,incomplete,1.3454384438791516,1.1998283930939286,0.40136403931651754,0.265125514355504,0.33351044632797855,1-1,0.1241568030698924,0.9,2026-08-28 01:35:17.451528,Home Win,,
LIGUE1_2026_2._Lorient_Troyes,LIGUE1,2026,2.0,2026-08-29,Lorient,Troyes,,,incomplete,1.2795864325453765,1.0232932994588648,0.4258174127714102,0.27779145273805056,0.2963911344905391,1-0,0.132230618135481,0.7494731549545195,2026-08-28 01:35:17.451528,Home Win,,
LIGUE1_2026_2._Lyon_Le Havre,LIGUE1,2026,2.0,2026-08-29,Lyon,Le Havre,,,incomplete,1.6389452924763943,0.8294766439590585,0.5637314524094569,0.2453786788204638,0.19088986877007938,1-0,0.1393581326511673,0.9,2026-08-28 01:35:17.451528,Home Win,,
LIGUE1_2026_2._Strasbourg_Racing De Lens,LIGUE1,2026,2.0,2026-08-29,Strasbourg,Racing De Lens,,,incomplete,1.607383035997602,1.5348447179097433,0.40196860776431587,0.23290782459205867,0.3651235676436254,1-1,0.10355622927556683,0.8472408473025919,2026-08-28 01:35:17.451528,Home Win,,
LIGUE1_2026_2._Monaco_Marseille,LIGUE1,2026,2.0,2026-08-30,Monaco,Marseille,,,incomplete,1.6257667839494199,1.4892348225748875,0.4111053602679864,0.2358154738139999,0.35307916591801375,1-1,0.10622626464643854,0.9,2026-08-28 01:35:17.451528,Home Win,,
LIGUE1_2026_2._Paris FC_Nice,LIGUE1,2026,2.0,2026-08-30,Paris FC,Nice,,,incomplete,1.4067789345547803,0.9885754825924188,0.46441070656628386,0.26866650122876296,0.26692279220495313,1-0,0.1281642442374329,0.8949505353540648,2026-08-28 01:35:17.451528,Home Win,,
LIGUE1_2026_2._Rennes_Le Mans,LIGUE1,2026,2.0,2026-08-30,Rennes,Le Mans,,,incomplete,1.6932744275963174,1.260447342823926,0.4785170958868898,0.2351662358848699,0.2863166682282403,1-1,0.10693871062764891,0.8473145649496816,2026-08-28 01:35:17.451528,Home Win,,
LIGUE1_2026_3._Toulouse_Lille Osc,LIGUE1,2026,3.0,2026-09-03,Toulouse,Lille Osc,,,incomplete,1.2104382564434457,1.2190280833219136,0.365314041324796,0.27220710832528244,0.36247885034992156,1-1,0.12407797072043263,0.791423590748012,2026-08-28 01:35:17.451528,Home Win,,
LIGUE1_2026_3._Lyon_Auxerre,LIGUE1,2026,3.0,2026-09-04,Lyon,Auxerre,,,incomplete,1.7251799892853117,0.9756327700227876,0.548104698473924,0.23714359048079356,0.21475171104528243,1-0,0.11662511530849579,0.9,2026-08-28 01:35:17.451528,Home Win,,
LIGUE1_2026_3._Paris SG_Monaco,LIGUE1,2026,3.0,2026-09-04,Paris SG,Monaco,,,incomplete,2.086072072607783,1.1023611253166585,0.5976532653264957,0.206366552889018,0.19598018178448634,2-1,0.09674025745366625,0.9,2026-08-28 01:35:17.451528,Home Win,,
LIGUE1_2026_3._Le Havre_Brest,LIGUE1,2026,3.0,2026-09-05,Le Havre,Brest,,,incomplete,1.1907908875700242,1.159165463436125,0.3678253270604015,0.27892211960261365,0.35325255333698485,1-1,0.1286460887975414,0.9,2026-08-28 01:35:17.451528,Home Win,,
LIGUE1_2026_3._Nice_Le Mans,LIGUE1,2026,3.0,2026-09-05,Nice,Le Mans,,,incomplete,1.2897692047466105,1.2553701899967045,0.37916398896090414,0.2643261426579653,0.3565098683811305,1-1,0.12133881373465508,0.7800677649993704,2026-08-28 01:35:17.451528,Home Win,,
LIGUE1_2026_3._Racing De Lens_Lorient,LIGUE1,2026,3.0,2026-09-05,Racing De Lens,Lorient,,,incomplete,1.7792508299043148,1.1794326101344108,0.5076897361898698,0.23188007887690607,0.2604301849332241,1-1,0.10612077150865862,0.774027180763477,2026-08-28 01:35:17.451528,Home Win,,
LIGUE1_2026_3._Angers_Rennes,LIGUE1,2026,3.0,2026-09-06,Angers,Rennes,,,incomplete,0.9591863990335576,1.4364156721475823,0.2531605470915746,0.26617113785947266,0.48066831504895263,0-1,0.1318512005928024,0.9,2026-08-28 01:35:17.451528,Away Win,,
LIGUE1_2026_3._Marseille_Paris FC,LIGUE1,2026,3.0,2026-09-06,Marseille,Paris FC,,,incomplete,1.7006591361697778,1.0830326695667305,0.5173648743290727,0.2390548802257563,0.24358024544517104,1-1,0.11182899131482303,0.9,2026-08-28 01:35:17.451528,Home Win,,
LIGUE1_2026_3._Troyes_Strasbourg,LIGUE1,2026,3.0,2026-09-06,Troyes,Strasbourg,,,incomplete,1.274360767876938,1.207955345647866,0.37654528868954906,0.2683567156331781,0.35509799567727285,1-1,0.12234208800762697,0.8226868214936343,2026-08-28 01:35:17.451528,Home Win,,
